scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,b_signature,network,network_response,transfer,segment_transfer_1,segment_transfer_2,segment_transfer_3,segment_transfer_4,segment_transfer_5,segment_locked_transfer_1,segment_locked_transfer_2,segment_locked_transfer_3,segment_locked_transfer_4,segment_locked_transfer_5,target_response_coverage,transfer_first_half,transfer_second_half,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,evoked_fc_z,evoked_fc_first_half_z,evoked_fc_second_half_z,evoked_fc_split_abs_z,fc_valid_fraction,relative_latency_raw_ms,relative_latency_ms,latency_valid_fraction,median_pulse_tail_energy_fraction,median_target_fit_r_squared,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,a1_snr_db_min,a1_phase_consistency_min,baseline_transfer,baseline_evoked_fc_z,baseline_relative_latency_ms,log2_transfer_vs_baseline,evoked_fc_z_vs_baseline,latency_ms_vs_baseline
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,semantic_expanded,1.2179731029406319e-05,0.0002797264610353099,0.00028076220966613677,0.0002803069817378785,0.0002803098834285098,0.0002803093491727759,0.00028030937936786196,0.00027973273745695,0.00027962449004778443,0.00027962747443780703,0.0002796269562652371,0.00027962698420695654,1.0,0.00027989508173029343,0.00027971977249957765,0.0009038994020175013,False,-0.00023226520471650858,0.00027962698420695654,2.14683541932211,2.1382912015721915,2.151920366884263,0.013629165312071478,1.0,,,,,0.9995905533947984,31.59531272439018,0.9999985214881282,1.0,31.54005527681766,0.9999999999998275,0.0002797264610353099,2.14683541932211,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,episodic_expanded,2.401104189537475e-05,0.0005529297815023573,0.0005544235091275103,0.000554110956994423,0.0005541141090852232,0.0005541132797797679,0.0005541132951220966,0.0005529664524875162,0.00055284887526716,0.0005528520757321059,0.0005528512449121096,0.0005528512578498327,1.0,0.0005531385310665722,0.0005530216460745461,0.0003048914659249467,False,-8.04426536266334e-05,0.0005528512578498327,2.230808642041879,2.227342738082206,2.230485799073141,0.003143060990934643,1.0,,,,,0.9998630861097929,31.58269083285247,0.9999996550029906,1.0,31.54005527681766,0.9999999999998275,0.0005529297815023573,2.230808642041879,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,semantic_anatomical_core,1.0748124601373237e-05,0.00024717120342564246,0.00024815548923083397,0.0002476741460090001,0.0002476770583247754,0.0002476767033820553,0.00024767673719514575,0.0002471698228932755,0.0002470653128106736,0.00024706830484556267,0.00024706796888495866,0.0002470680003392867,1.0,0.0002473359953531043,0.00024715083977748856,0.0010804050754850783,False,-0.0002778548138688386,0.0002470680003392867,2.134045375250654,2.124319155399638,2.140418634208432,0.016099478808794032,1.0,,,,,0.9995737415776209,31.599094292014108,0.9999984738858849,1.0,31.54005527681766,0.9999999999998275,0.00024717120342564246,2.134045375250654,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,episodic_anatomical_core,2.514413726536252e-05,0.0005778740326677363,0.0005794050875064206,0.0005791105035627959,0.0005791135016339424,0.0005791126604945485,0.0005791126737605419,0.0005779136148618274,0.0005777955857497991,0.0005777986190444046,0.000577797775698339,0.0005777977866267037,1.0,0.0005780858319425428,0.0005779752430532528,0.0002760166328470885,False,-7.255953960463302e-05,0.0005777977866267037,2.2332237727426794,2.2299629414035635,2.232692138430691,0.0027291970271274835,1.0,,,,,0.9998663785956731,31.58249026510795,0.9999996679305538,1.0,31.54005527681766,0.9999999999998275,0.0005778740326677363,2.2332237727426794,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,semantic_platel_peaks,1.3363984857699268e-05,0.0003070196799877155,0.00030811878983854333,0.0003076691036240791,0.000307672069298288,0.0003076713045764544,0.00030767132989355776,0.00030703136744734375,0.0003069177875893383,0.0003069208243570763,0.0003069200713921585,0.00030692009455999793,1.0,0.00030719524882555203,0.00030702229039513015,0.0008125013061707592,False,-0.0002091490346347591,0.00030692009455999793,2.159417218168514,2.152420076971379,2.1627370096184295,0.010316932647050692,1.0,,,,,0.9995905533947984,31.602875859638033,0.999998385578322,1.0,31.54005527681766,0.9999999999998275,0.0003070196799877155,2.159417218168514,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,episodic_platel_peaks,2.2529720177247858e-05,0.0005189845150305211,0.0005204570331524889,0.0005200706926196115,0.0005200753915025429,0.0005200746198104934,0.000520074649091587,0.0005190079328863112,0.0005188921876359632,0.0005188969789456615,0.0005188962125844401,0.0005188962388810992,1.0,0.0005191954050323918,0.0005190553168121923,0.00038931748862409623,False,-0.00010549024136050634,0.0005188962388810992,2.23363385413976,2.22948340577353,2.2340051136791628,0.004521707905632777,1.0,,,,,0.9997381469407312,31.5826954954174,0.9999993324316447,1.0,31.54005527681766,0.9999999999998275,0.0005189845150305211,2.23363385413976,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,semantic_expanded_left,1.2353898022892561e-05,0.00028362027115692775,0.000284713638042671,0.0002842004257490456,0.00028420374234617896,0.0002842030906046983,0.00028420311727186525,0.00028361919413895706,0.0002835068447019578,0.0002835103151983256,0.00028350968710625263,0.0002835097116248292,1.0,0.00028380136505673135,0.00028360403130648986,0.0010034886385509316,False,-0.0002582458514016395,0.0002835097116248292,2.1192824815592215,2.108659889694934,2.126695329936351,0.0180354402414169,1.0,,,,,0.9995905533947984,31.59531272439018,0.999998385578322,1.0,31.54005527681766,0.9999999999998275,0.00028362027115692775,2.1192824815592215,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,episodic_expanded_left,2.4258624278562686e-05,0.000556928475775861,0.0005584303821614575,0.000558121112929867,0.0005581233161508145,0.0005581224056802758,0.0005581224109626592,0.0005569680298564265,0.0005568489301852383,0.0005568511922668416,0.0005568502752392264,0.0005568502783370007,1.0,0.0005571384429388197,0.0005570219696234171,0.0003016360539195848,False,-7.941868124232699e-05,0.0005568502783370007,2.229370100753677,2.225982170597827,2.2289689810584443,0.0029868104606172174,1.0,,,,,0.999864423751309,31.582678433499574,0.9999996542278577,1.0,31.54005527681766,0.9999999999998275,0.000556928475775861,2.229370100753677,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,semantic_expanded_right,1.1976536203672367e-05,0.000275886108860126,0.00027686562160678,0.0002764668765147446,0.0002764693740450354,0.0002764689541781011,0.00027646898779943235,0.00027589953720417304,0.00027579530052151654,0.0002757978114685833,0.00027579740032253856,0.00027579743158904086,1.0,0.0002760425650565396,0.00027588871274773373,0.0008043101654812832,False,-0.00020628455803164416,0.00027579743158904086,2.174388357084999,2.167922513449449,2.1771454038321747,0.009222890382725613,1.0,,,,,0.9995902543499726,31.597533809260277,0.9999986386080812,1.0,31.54005527681766,0.9999999999998275,0.000275886108860126,2.174388357084999,,0.0,0.0,
main_full_field,full_field,Baseline,0.0,11,2Hz,60.0,0.02,0.5,512a8299eaef29ce,episodic_expanded_right,2.3830981980328975e-05,0.000548959797479071,0.0005504453863765402,0.0005501296144298657,0.0005501337016429946,0.0005501329523835352,0.0005501329776410115,0.0005489936247426081,0.0005488775542452617,0.0005488816794969406,0.0005488809336936443,0.000548880956329825,1.0,0.0005491673361051545,0.000549050051353923,0.00030814687792972347,False,-8.146662601111744e-05,0.000548880956329825,2.2322471833300814,2.2287033055665857,2.232002617087837,0.0032993115212511803,1.0,,,,,0.9998196511445367,31.58269083285247,0.9999996550029906,1.0,31.54005527681766,0.9999999999998275,0.000548959797479071,2.2322471833300814,,0.0,0.0,
