scope,variant,condition,severity,seed,probe,simulation_type,global_coupling,input_peak_per_ms,dt_ms,simulation_ms,b_signature,wall_seconds,max_abs_psp,max_abs_evoked,job_ordinal,worker_pid,trace_format_version,trace_file,trace_sha256,trace_byte_size,trace_sample_count,trace_region_count
main_full_field,full_field,Intermediate AD-like perturbation,0.5,89,pulse,stimulated,60.0,0.02,0.5,6000.0,3982969b5c5cb0b2,132.39440465299413,41.72576138069366,0.2954274689484908,25,621519,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0089_pulse.npz,7dc44fbbf4eab2b1ab80a8b4397601c001513b8a0e70abcc1dfa97113570ed2d,1881724.0,3000.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,89,2Hz,stimulated,60.0,0.02,0.5,14500.0,3982969b5c5cb0b2,321.89671556203393,41.72576138069366,10.238378876215886,25,621519,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0089_2Hz.npz,0af9ebe0b3fcf8d8d63e11d97c3fe2473e951502cb2bbff7341cd20061c4c5b7,5035124.0,7250.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,89,5Hz,stimulated,60.0,0.02,0.5,14500.0,3982969b5c5cb0b2,318.82721267599845,41.72576138069366,9.54318338246106,25,621519,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0089_5Hz.npz,7ee2df5d9085661a4a88626cef13f4dfbd21a4f24a788a98933ded3792d12d20,5037288.0,7250.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,107,pulse,stimulated,60.0,0.02,0.5,6000.0,3982969b5c5cb0b2,133.55805010301992,43.73468695199226,3.3085976928793333,26,621507,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0107_pulse.npz,4db8209e73961ca1da80d07357244355fb2f00a97404718d061d5cfea88512a2,1893651.0,3000.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,107,2Hz,stimulated,60.0,0.02,0.5,14500.0,3982969b5c5cb0b2,323.08636047597975,43.73468695199226,9.250566615168253,26,621507,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0107_2Hz.npz,25247013f37bbd67a36ec867f2888a4525cc240bd6d947ab42da862aba0b5fa1,5030347.0,7250.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,107,5Hz,stimulated,60.0,0.02,0.5,14500.0,3982969b5c5cb0b2,320.1107292599627,43.73468695199226,5.391956798468756,26,621507,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0107_5Hz.npz,1cde221f10cde041a92e7558483baf23b7caa90833539ddaed7da067b72730a6,5021037.0,7250.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,127,pulse,stimulated,60.0,0.02,0.5,6000.0,3982969b5c5cb0b2,137.3304389230325,42.35602670398124,0.3126826617763374,27,621513,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0127_pulse.npz,d851280322675be491ace926d00dcf2a9cc9beb89ea24b28375635799e50a98e,1889577.0,3000.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,127,2Hz,stimulated,60.0,0.02,0.5,14500.0,3982969b5c5cb0b2,334.7738903579884,42.35602670398124,9.073731275104485,27,621513,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0127_2Hz.npz,3055c37fec1de6f0c1b28c2d9ba4aa4a91dd20fe4418aeb402aefaf0e3d1afcc,5017172.0,7250.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,127,5Hz,stimulated,60.0,0.02,0.5,14500.0,3982969b5c5cb0b2,316.5168013990042,42.35602670398124,3.219712199747347,27,621513,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0127_5Hz.npz,641a08e6a8e08c073bd999329ed318ba0d93d2b5939244bffa5ed0addf7d8e11,5009950.0,7250.0,34.0
main_full_field,full_field,Intermediate AD-like perturbation,0.5,149,pulse,stimulated,60.0,0.02,0.5,6000.0,3982969b5c5cb0b2,132.77177712100092,44.122139538624495,1.568056465484231,28,621515,parcel_psp_v1,main_parcel_traces/severity_0p5_seed_0149_pulse.npz,f41900d30c5dbe5313d59897875541d94ff9ebfac82607d501ee0873b0f22072,1885872.0,3000.0,34.0
