gate_level,severity,probe,outcome,unit,seed_count,main_mean,reference_mean,signed_difference,absolute_difference,tolerance,direction_consistent,main_sd,reference_sd,main_ci95_lower,main_ci95_upper,reference_ci95_lower,reference_ci95_upper,main_hedges_gz,reference_hedges_gz,main_inference_class,reference_inference_class,inference_consistent,step_bias_sd,step_bias_ci95_lower,step_bias_ci95_upper,fatal_validity_passed,precision_target_passed,passed,gate_action
a1_seed_maximum,0.0,2Hz,a1_snr_db,dB,20,31.540055271253692,31.540186432230872,-0.00013116097717968955,0.00013121150195871678,1.0,True,,,,,,,,,not_applicable,not_applicable,True,5.0700408779018076e-08,-0.0001311847056983897,-0.0001311372486549498,True,True,True,pass
a1_seed_maximum,1.0,2Hz,a1_snr_db,dB,20,31.52892137311851,31.52812017184859,0.0008012012699190052,0.06618668183147491,1.0,True,,,,,,,,,not_applicable,not_applicable,True,0.022775789009573347,-0.009858196104138541,0.011460598643982592,True,True,True,pass
a1_seed_maximum,0.0,5Hz,a1_snr_db,dB,20,31.882958522143156,31.883053432553385,-9.491041022968716e-05,9.508676176039899e-05,1.0,True,,,,,,,,,not_applicable,not_applicable,True,1.2397556956487004e-07,-9.496843258033364e-05,-9.48523878751327e-05,True,True,True,pass
a1_seed_maximum,1.0,5Hz,a1_snr_db,dB,20,31.845785683812096,31.84211520862936,0.0036704751827372206,0.215961403257122,1.0,True,,,,,,,,,not_applicable,not_applicable,True,0.06657117513610175,-0.027485793833259498,0.03482674419873749,True,True,True,pass
finite_seed_interaction_mean_and_ci,1.0,2Hz,functional_connectivity,Fisher-z difference,20,0.06396649816400371,0.06198351431178173,0.001982983852221981,0.001982983852221981,0.05,True,0.008391486422036866,0.013881040746753542,0.0600391616272134,0.06789383470079402,0.05548698726619929,0.06848004135736416,7.31787375311489,4.286722791533274,positive,positive,True,0.012173322098459699,-0.003714306263847007,0.0076802739682909574,True,True,True,pass
finite_seed_interaction_mean_and_ci,1.0,5Hz,functional_connectivity,Fisher-z difference,20,0.0688087571334865,0.07266815836253511,-0.003859401229048612,0.003859401229048612,0.05,True,0.015573176257590467,0.027537644867130295,0.06152028629121767,0.07609722797575533,0.05978014384584286,0.08555617287922736,4.241678496122505,2.533311485591235,positive,positive,True,0.02760633131038091,-0.016779561990707893,0.009060759532610672,True,True,True,pass
finite_seed_interaction_mean_and_ci,1.0,pulse,response_latency,ms,20,363.475,393.475,-30.0,30.0,5.0,True,100.91638996296834,95.60368785553698,316.2446756534413,410.70532434655877,348.7310967767366,438.21890322326345,3.4576742204912745,3.9510609734091244,positive,positive,True,69.60962577115323,-62.57830768639831,2.578307686398311,True,False,True,warn_exact_magnitude_dt_sensitive
finite_seed_interaction_mean_and_ci,1.0,2Hz,transfer_gain,log2 ratio,20,2.2331726745155254,2.1614098133415784,0.07176286117394692,0.07176286117394692,0.07038932789139801,True,0.43964542944433876,0.5902201473859452,2.027412279818907,2.4389330692121436,1.885178281405674,2.437641345277483,4.876306277639412,3.5155584403510756,positive,positive,True,0.43895383423344675,-0.13367385700056253,0.2771995793484573,True,False,True,warn_exact_magnitude_dt_sensitive
finite_seed_interaction_mean_and_ci,1.0,5Hz,transfer_gain,log2 ratio,20,2.1724420446951784,2.094332402801988,0.07810964189319058,0.07810964189319058,0.07038932789139801,True,0.5347528652437686,0.6583182240414044,1.9221699998867703,2.422714089503587,1.786229989941841,2.4024348156621347,3.9000153125999053,3.054083926686884,positive,positive,True,0.5371049521188992,-0.1732632134579307,0.3294824972443102,True,False,True,warn_exact_magnitude_dt_sensitive
