scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,b_signature,network,network_response,transfer,segment_transfer_1,segment_transfer_2,segment_transfer_3,segment_transfer_4,segment_transfer_5,segment_locked_transfer_1,segment_locked_transfer_2,segment_locked_transfer_3,segment_locked_transfer_4,segment_locked_transfer_5,target_response_coverage,transfer_first_half,transfer_second_half,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,evoked_fc_z,evoked_fc_first_half_z,evoked_fc_second_half_z,evoked_fc_split_abs_z,fc_valid_fraction,relative_latency_raw_ms,relative_latency_ms,latency_valid_fraction,median_pulse_tail_energy_fraction,median_target_fit_r_squared,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,a1_snr_db_min,a1_phase_consistency_min
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_expanded,5.725322353996004e-06,0.0001377653279411797,0.00013870108772493344,0.0001379420271527135,0.00013794131039542197,0.0001379412710049361,0.0001379412708131819,0.0001377157924032758,0.00013760273473326822,0.00013760208402045313,0.00013760204516529578,0.0001376020449804903,1.0,0.00013795857195546458,0.00013764942108895371,0.003236557867101352,False,-0.0007928892732349092,0.00013760208402045313,2.138174294563405,2.1102315141844263,2.169064611101196,0.058833096916769634,1.0,,,,,0.9985127623254307,31.63020573678945,0.9999949543241136,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_expanded,1.143128929800188e-05,0.0002756275979953909,0.0002766240262412551,0.0002761774437707928,0.000276176973607211,0.0002761769277209767,0.00027617692754919505,0.00027564446436379017,0.0002755217992848077,0.0002755213226322877,0.00027552127656174945,0.00027552127639471536,1.0,0.0002757962964610859,0.00027561213314940985,0.0009636831505658463,False,-0.00023350168058362543,0.0002755213226322877,2.2156319239958235,2.2078884893088087,2.219691732660383,0.011803243351574455,1.0,,,,,0.999584796254844,31.598781401252076,0.9999988048474531,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_anatomical_core,5.039836897440438e-06,0.00012138666649787851,0.0001223430526159983,0.00012151039359362343,0.00012150972636774345,0.00012150968732072058,0.00012150968709981727,0.00012132208113260781,0.00012120983442485202,0.00012120922943296445,0.00012120919108784745,0.00012120919087663447,1.0,0.00012158997275451414,0.00012125122805354111,0.0040248987039362815,False,-0.0009865037344307659,0.00012120922943296445,2.1221506258002005,2.0893508195732995,2.160303333156967,0.07095251358366772,1.0,,,,,0.9984376447023953,31.631030775892974,0.9999933625729414,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_anatomical_core,1.2013650094627898e-05,0.00028911474887838463,0.00029011296019723295,0.0002897013253425895,0.00028970084498536054,0.0002897007942756519,0.00028970079410463453,0.0002891354650768512,0.0002890152123657311,0.0002890147254915265,0.0002890146744968563,0.00028901467433130036,1.0,0.0002892802484273389,0.0002891097061620141,0.0008507771811185204,False,-0.0002052429524269428,0.0002890147254915265,2.2185223478826233,2.2116094823783436,2.2217239808086644,0.01011449843032075,1.0,,,,,0.9995899608278391,31.59791249565914,0.9999988908105969,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_platel_peaks,6.271948603834853e-06,0.00015084778131980065,0.00015177429986204665,0.0001510686662453005,0.00015106784293778677,0.00015106780094935717,0.00015106780079019618,0.00015081145490733144,0.00015069634701507723,0.00015069558714871464,0.00015069554505939083,0.00015069554490123265,1.0,0.00015103385805293747,0.00015074750896753778,0.0027378398708257624,False,-0.0006735458452313382,0.00015069558714871464,2.160058572491691,2.138279016996685,2.179489245813069,0.04121022881638359,1.0,,,,,0.9985127623254307,31.63020573678945,0.999991770821769,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_platel_peaks,1.0493678670331751e-05,0.00025287740715748404,0.0002539436752531929,0.0002533469506679429,0.00025334630884309145,0.0002533462635914091,0.0002533462634221142,0.00025288001263715654,0.00025274356344978633,0.0002527429096545152,0.0002527428643850948,0.0002527428642153932,1.0,0.00025306929976442354,0.0002528265314818152,0.00138463534449857,False,-0.0003399947932718917,0.0002527429096545152,2.2094816560403983,2.1987670832662785,2.216619959406332,0.017852876140053375,1.0,,,,,0.9991387213188871,31.610506489536718,0.9999984958981825,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_expanded_left,5.786432183293197e-06,0.00013929632915031756,0.00014033387396750934,0.00013945164269293784,0.00013945090067313395,0.0001394508658585642,0.00013945086564760883,0.00013922261015363382,0.000139107777428865,0.0001391071427161496,0.00013910710875527418,0.00013910710855387612,1.0,0.00013951499217656563,0.0001391551877156234,0.003725467864147558,False,-0.000911041892908937,0.0001391071427161496,2.1021864475202614,2.0657199369651242,2.1472992937847044,0.08157935681958017,1.0,,,,,0.9985127623254307,31.63020573678945,0.9999949543241136,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_expanded_left,1.1524513272665019e-05,0.0002774287062002206,0.00027842129205342604,0.0002779852435856407,0.00027798497498930256,0.00027798493582502484,0.0002779849356225652,0.00027744895543363316,0.00027732465421411774,0.0002773243726847123,0.0002773243340309471,0.0002773243338371999,1.0,0.0002775958069562364,0.0002774159395058959,0.0009350933177986392,False,-0.00022636395247674912,0.0002773243726847123,2.2152794074471718,2.2078916217823314,2.218966311703014,0.011074689920682612,1.0,,,,,0.9995853650363238,31.598200483111405,0.9999988543633042,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_expanded_right,5.65402755314928e-06,0.00013625115391418423,0.00013708729896912657,0.00013644875375830602,0.00013644806180353322,0.00013644801794028197,0.00013644801776733798,0.00013622528306525344,0.00013611397548031904,0.00013611330918792306,0.00013611326554836624,0.00013611326537981767,1.0,0.00013641951505759397,0.00013615994802036965,0.0027476478700576464,False,-0.0006747366535608812,0.00013611330918792306,2.174162141606549,2.154743091403729,2.1908299284176875,0.03608683701395865,1.0,,,,,0.9985159936066219,31.62430570854348,0.9999938768010765,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_expanded_right,1.1363490043701418e-05,0.0002738381828514913,0.00027483836214379424,0.0002743814004798822,0.00027438073138223853,0.0002743806788631436,0.00027438067872164856,0.00027385170946363663,0.0002737306645031535,0.0002737299952765014,0.000273729941887266,0.0002737299417466064,1.0,0.0002740084512646941,0.0002738200554534241,0.0009922729833332707,False,-0.0002406394086904129,0.0002737299952765014,2.2159844405444753,2.207885356835286,2.2204171536177526,0.012531796782466742,1.0,,,,,0.9994381588557347,31.60432568425904,0.9999986860163591,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,shared_auditory_relay,2.074270612760598e-05,0.0004995418449105633,0.0005008955640553777,0.0005006177111126487,0.0005006170541078318,0.0005006170147849221,0.0005006170146248113,0.0004995749254740637,0.0004994602393845651,0.0004994595788305958,0.0004994595396457383,0.0004994595394889589,1.0,0.0004997373148132137,0.0004996190731304925,0.0003413931048867172,False,-8.03513275257295e-05,0.0004994595788305958,2.2425214814303573,2.2388467569893447,2.2424303502963454,0.003583593307000754,1.0,,,,,0.9998664481061668,31.585741535841436,0.9999997215857646,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,anterior_temporal_context,8.720538481181663e-06,0.00020986426424390698,0.00021085428090744199,0.00021023453083263575,0.00021023360561539813,0.00021023357356688368,0.00021023357346647346,0.00020984916903230108,0.00020972699986284885,0.00020972611758289132,0.000209726085315789,0.0002097260852125741,1.0,0.00021004983010881775,0.00020979661746816232,0.0017402012919942283,False,-0.000425651666406246,0.00020972611758289132,2.1751159299808043,2.158101153264545,2.189995776331907,0.031894623067362016,1.0,,,,,0.9993257550199923,31.60600924489489,0.9999982681660174,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,hippocampal_context,1.2084674414977836e-05,0.00028902823413569866,0.0002901969671903387,0.00028957496309057026,0.0002895745340685766,0.0002895744722244738,0.00028957447211181006,0.00028903477379669184,0.0002888885864927259,0.0002888881362817731,0.00028888807525210896,0.00028888807513470114,1.0,0.0002892345805658944,0.00028898320932703355,0.0012543787787648497,False,-0.0003099239846248381,0.0002888881362817731,2.2188684442417643,2.2099227984412635,2.224164745272012,0.014241946830748642,1.0,,,,,0.9993545025372155,31.600817860142367,0.9999994300798387,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,2Hz,30.0,0.02,0.5,512a8299eaef29ce,angular_parietal_context,1.0485228259290178e-05,0.0002525391173768928,0.00025363219400539617,0.00025300694078099733,0.0002530064400487247,0.0002530063871782206,0.0002530063870587658,0.0002525422484892197,0.0002523997115782092,0.0002523991940621887,0.0002523991417230174,0.0002523991416026975,1.0,0.00025273688795714085,0.0002524834798176679,0.001447252407528262,False,-0.0003565653721704365,0.0002523991940621887,2.203879744220628,2.1932957654356073,2.210878059771974,0.01758229433636682,1.0,,,,,0.999173627627397,31.609079651970504,0.9999987070866516,1.0,31.540683223892145,0.9999999999998924
parameter_G30,G30,"Baseline, G30",0.0,11,5Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_expanded,1.0309588875738141e-05,0.00018634618485167045,0.00018698322317927337,0.0001865153290020155,0.00018651493032180373,0.00018651493947675134,0.0001865149387992046,0.0001863834241215093,0.00018621613454346383,0.0001862157165780716,0.0001862157295619958,0.00018621572885760312,1.0,0.00018647286706844227,0.00018628470534838167,0.0014564962515078335,False,-0.00036191516380945643,0.0001862157295619958,1.3187863757934264,1.3171294406210885,1.3203649274626423,0.0032354868415538363,1.0,,,,,0.9991441057549216,31.957436881981888,0.9999943685095004,1.0,31.883315927553376,0.9999999999966945
parameter_G30,G30,"Baseline, G30",0.0,11,5Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_expanded,2.047257345241925e-05,0.0003708401701024109,0.00037160236259029363,0.0003712821450452017,0.0003712822363883038,0.0003712823215345827,0.0003712823204681638,0.0003708884203954454,0.0003707137249865024,0.0003707137912697275,0.00037071388917095735,0.0003707138880705303,1.0,0.0003709671404363204,0.00037083920346321256,0.0004976340253677028,False,-0.0001242711975320887,0.0003707138880705303,1.3836122622710736,1.3833816633229308,1.3836961240736156,0.000314460750684864,1.0,,,,,0.9995673826684768,31.927233645980508,0.9999981331147334,1.0,31.883315927553376,0.9999999999966945
parameter_G30,G30,"Baseline, G30",0.0,11,5Hz,30.0,0.02,0.5,512a8299eaef29ce,semantic_anatomical_core,9.082241156420188e-06,0.00016432893185746957,0.00016496214327561164,0.00016446146031762982,0.00016446117528364727,0.00016446117352455556,0.00016446117309458662,0.00016436026536830275,0.00016419557305430243,0.0001641952791285105,0.00016419527971178193,0.0001641952792643456,1.0,0.00016445845839554115,0.00016425710464424364,0.0017674374289261255,False,-0.0004389215391945811,0.00016419527971178193,1.3078634230440347,1.3058165604507035,1.3098535344256805,0.004036973974977043,1.0,,,,,0.9991136693626113,31.961633154347368,0.9999942208331363,1.0,31.883315927553376,0.9999999999966945
parameter_G30,G30,"Baseline, G30",0.0,11,5Hz,30.0,0.02,0.5,512a8299eaef29ce,episodic_anatomical_core,2.150395085153972e-05,0.0003887721508104146,0.00038954404722520353,0.00038924069329636916,0.00038924071690652927,0.00038924081533874217,0.00038924081420360775,0.00038882071087514034,0.0003886469030167371,0.0003886468957084599,0.00038864700844454676,0.00038864700727353415,1.0,0.00038889867255987334,0.00038877739682700575,0.0004499660120558001,False,-0.00011232491821360213,0.00038864700727353415,1.386373277148755,1.386180217053367,1.3864184683527254,0.00023825129935839406,1.0,,,,,0.9995749336690355,31.926131093630755,0.9999983421049485,1.0,31.883315927553376,0.9999999999966945
