severity,seed,probe,main_a1_snr_db,reference_a1_snr_db,absolute_difference_db
0.0,11,2Hz,31.54005527681766,31.54018645947388,0.00013118265621869796
0.0,11,5Hz,31.882958516682535,31.883053483334017,9.496665148134298e-05
0.0,23,2Hz,31.54005517010051,31.54018637153945,0.00013120143893985414
0.0,23,5Hz,31.882958485035164,31.8830535716053,9.508657013412858e-05
1.0,11,2Hz,31.5234110903025,31.524591329530168,0.0011802392276685225
1.0,11,5Hz,31.832054997710454,31.835040115973232,0.0029851182627780304
1.0,23,2Hz,31.54629522792566,31.53775632720081,0.008538900724850862
1.0,23,5Hz,31.79900478422217,31.79866055182208,0.00034423240008862876
0.0,37,2Hz,31.540055245615694,31.540186420903883,0.00013117528818895607
0.0,37,5Hz,31.882958554252955,31.883053475929778,9.492167682267905e-05
0.0,53,2Hz,31.5400553416198,31.540186508430224,0.00013116681042291134
0.0,53,5Hz,31.88295849839207,31.8830533371289,9.483873682825106e-05
0.0,71,2Hz,31.540055238442744,31.54018641655579,0.00013117811304752536
0.0,71,5Hz,31.882958502886957,31.88305338252686,9.487963990295611e-05
0.0,89,2Hz,31.540055278467992,31.540186453882654,0.00013117541466201033
0.0,89,5Hz,31.88295854597161,31.88305345136576,9.490539414969135e-05
0.0,107,2Hz,31.540055454413128,31.54018650614619,0.00013105173306016127
0.0,107,5Hz,31.88295849309407,31.883053159220633,9.46661265643911e-05
0.0,127,2Hz,31.54005527086551,31.540186460359934,0.0001311894944251435
0.0,127,5Hz,31.88295852687429,31.883053442000474,9.491512618353681e-05
0.0,149,2Hz,31.5400552399583,31.540186412729213,0.00013117277091367896
0.0,149,5Hz,31.88295855978653,31.883053468353218,9.490856668747938e-05
0.0,173,2Hz,31.540055268969148,31.54018645626332,0.0001311872941727188
0.0,173,5Hz,31.88295851173274,31.88305345770374,9.494597100001556e-05
0.0,197,2Hz,31.540055475478308,31.540186502737726,0.00013102725941749327
0.0,197,5Hz,31.882958597232573,31.88305319572409,9.459849151838284e-05
0.0,223,2Hz,31.540055429361395,31.540186491532005,0.00013106217060965264
0.0,223,5Hz,31.882958530271893,31.88305329713085,9.47668589574846e-05
0.0,251,2Hz,31.540055250380593,31.54018643652509,0.00013118614449680877
0.0,251,5Hz,31.88295853883675,31.883053471116334,9.493227958401462e-05
0.0,281,2Hz,31.5400551875171,31.54018639901906,0.00013121150195871678
0.0,281,5Hz,31.88295852987658,31.88305345734129,9.492746471195801e-05
0.0,313,2Hz,31.54005521267331,31.54018639666619,0.00013118399288103433
0.0,313,5Hz,31.882958511159924,31.883053524285714,9.501312579018872e-05
0.0,347,2Hz,31.54005516448273,31.540186328031137,0.0001311635484064766
0.0,347,5Hz,31.882958455516835,31.88305352098295,9.506546611603994e-05
0.0,383,2Hz,31.540055154375445,31.540186320131482,0.0001311657560378876
0.0,383,5Hz,31.88295845568839,31.88305354245015,9.508676176039899e-05
0.0,421,2Hz,31.540055281921564,31.540186460363092,0.00013117844152787939
0.0,421,5Hz,31.882958531964643,31.883053412278734,9.48803140907728e-05
0.0,461,2Hz,31.540055215085157,31.54018639674004,0.00013118165488279487
0.0,461,5Hz,31.88295851822221,31.883053501254523,9.498303231225691e-05
0.0,503,2Hz,31.54005526852773,31.540186446586993,0.00013117805926299297
