stage,seed,severity,condition,probe,network,a1_frequency_passed,target_response_coverage,response_coverage_passed,transfer_valid,evoked_fc_split_abs_z,fc_valid_fraction,functional_connectivity_valid,latency_valid_fraction,median_pulse_tail_energy_fraction,response_latency_valid,target_frequency_qa_valid_fraction,frequency_locked_transfer_valid,transfer_split_abs_log2,transfer_nonstationary_flag,required_metric_gate_passed
complete_main,71,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031562566819687277,1.0,True,,,False,1.0,True,0.00030707475282330376,False,True
complete_main,71,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014364218238838156,1.0,True,,,False,1.0,True,0.0003266610589772083,False,True
complete_main,71,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.0001921163068530074,1.0,True,,,False,1.0,True,8.895783001291335e-05,False,True
complete_main,89,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.465514923854397e-08,True,,False,,False,True
complete_main,89,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.3410108829652722e-08,True,,False,,False,True
complete_main,89,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013685107633516047,1.0,True,,,False,1.0,True,0.0009053837502742919,False,True
complete_main,89,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.003159388381926753,1.0,True,,,False,1.0,True,0.00030492053151668416,False,True
complete_main,89,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00014946170987784058,1.0,True,,,False,1.0,True,0.0003263018579878239,False,True
complete_main,89,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.0001911490246986336,1.0,True,,,False,1.0,True,8.874798470994936e-05,False,True
complete_main,107,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.471155059860576e-08,True,,False,,False,True
complete_main,107,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.2713637260005195e-08,True,,False,,False,True
complete_main,107,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013854773034223111,1.0,True,,,False,1.0,True,0.0009108683734770105,False,True
complete_main,107,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0032073117659234818,1.0,True,,,False,1.0,True,0.0003050475427567955,False,True
complete_main,107,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.00015676767494077204,1.0,True,,,False,1.0,True,0.00032883857345984897,False,True
complete_main,107,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00018971981180415654,1.0,True,,,False,1.0,True,8.997371616512284e-05,False,True
complete_main,127,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.512983153513901e-08,True,,False,,False,True
complete_main,127,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.377770645781236e-08,True,,False,,False,True
complete_main,127,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013628977028858014,1.0,True,,,False,1.0,True,0.0009029485082137982,False,True
complete_main,127,0.0,Baseline,2Hz,episodic_expanded,True,1.0,True,True,0.0031517652207639912,1.0,True,,,False,1.0,True,0.0003049162490956391,False,True
complete_main,127,0.0,Baseline,5Hz,semantic_expanded,True,1.0,True,True,0.000147243114200446,1.0,True,,,False,1.0,True,0.00032444917994562766,False,True
complete_main,127,0.0,Baseline,5Hz,episodic_expanded,True,1.0,True,True,0.00019085755113823488,1.0,True,,,False,1.0,True,8.812952487442873e-05,False,True
complete_main,149,0.0,Baseline,pulse,semantic_expanded,True,1.0,True,False,,,False,1.0,3.543815348584037e-08,True,,False,,False,True
complete_main,149,0.0,Baseline,pulse,episodic_expanded,True,1.0,True,False,,,False,1.0,2.372889258465529e-08,True,,False,,False,True
complete_main,149,0.0,Baseline,2Hz,semantic_expanded,True,1.0,True,True,0.013598424275296672,1.0,True,,,False,1.0,True,0.0009027595812332023,False,True
