outcome,probe,median_full_interaction,median_local_fixed_interaction,median_attenuation_percent,minimum_attenuation_percent,maximum_attenuation_percent
functional_connectivity,2Hz,0.065507643645212,0.07286450711099479,-10.803775231071588,-101.2249749423289,2.5142038481149376
functional_connectivity,5Hz,0.06824557743219051,0.08487749151361856,-22.404661308561135,-423.28085898863844,17.02158118759297
response_latency,pulse,352.75,56.5,80.49921996879876,-228.6775631500743,92.08791208791209
transfer_gain,2Hz,2.227456770843384,0.6368511701836947,72.47778873927805,46.95647341754826,83.4349623091601
transfer_gain,5Hz,2.260783520543741,0.6493398197909324,71.56418369270293,20.295072659454394,81.29750001014857
