outcome,probe,unit,numerical_initializations,mean_right_minus_left_interaction,ci95_lower_numerical,ci95_upper_numerical,paired_hedges_gz
functional_connectivity,2Hz,Fisher-z difference,20,-0.09819183887392488,-0.10924442008456163,-0.08713925766328813,-3.9915551433331977
functional_connectivity,5Hz,Fisher-z difference,20,-0.07481601177620573,-0.08747685371834961,-0.062155169834061844,-2.6549871360899453
response_latency,pulse,ms,20,653.35,579.6549521771902,727.0450478228098,3.9832544059522643
transfer_gain,2Hz,log2 ratio,20,1.9457612233590893,1.6865567565218806,2.204965690196298,3.372698485072464
transfer_gain,5Hz,log2 ratio,20,2.021815942776526,1.6912009818659657,2.352430903687086,2.747575083453809
