seed,probe,outcome,unit,main_interaction,reference_interaction,signed_main_minus_reference,absolute_main_minus_reference
11,2Hz,transfer_gain,log2 ratio,2.94884082509636,3.0160191525794406,-0.06717832748308084,0.06717832748308084
23,2Hz,transfer_gain,log2 ratio,2.435041254263779,2.5733456794193996,-0.1383044251556207,0.1383044251556207
37,2Hz,transfer_gain,log2 ratio,1.8030696746947648,2.2140646609997052,-0.41099498630494047,0.41099498630494047
53,2Hz,transfer_gain,log2 ratio,1.937278766558732,2.1617088639073714,-0.22443009734863928,0.22443009734863928
71,2Hz,transfer_gain,log2 ratio,1.52680646345069,2.061566126016417,-0.5347596625657269,0.5347596625657269
89,2Hz,transfer_gain,log2 ratio,2.571956478688775,2.6378153040804753,-0.06585882539170029,0.06585882539170029
107,2Hz,transfer_gain,log2 ratio,2.338568715357294,2.1677520895618523,0.17081662579544155,0.17081662579544155
127,2Hz,transfer_gain,log2 ratio,1.8973230532045626,1.2942114798543898,0.6031115733501728,0.6031115733501728
149,2Hz,transfer_gain,log2 ratio,2.041992763361308,2.1356005020754347,-0.09360773871412675,0.09360773871412675
173,2Hz,transfer_gain,log2 ratio,2.259044940116512,1.7286028220526504,0.5304421180638617,0.5304421180638617
197,2Hz,transfer_gain,log2 ratio,2.475793614177256,2.5437947540610315,-0.06800113988377543,0.06800113988377543
223,2Hz,transfer_gain,log2 ratio,1.4550711181285703,0.5477167010299233,0.907354417098647,0.907354417098647
251,2Hz,transfer_gain,log2 ratio,2.5944285964958445,2.884157105416964,-0.2897285089211197,0.2897285089211197
281,2Hz,transfer_gain,log2 ratio,2.6848906413438476,2.702158239520582,-0.01726759817673429,0.01726759817673429
313,2Hz,transfer_gain,log2 ratio,1.983575874762912,1.6877278502117115,0.2958480245512005,0.2958480245512005
347,2Hz,transfer_gain,log2 ratio,2.6981819049251046,2.1567235692759104,0.5414583356491942,0.5414583356491942
383,2Hz,transfer_gain,log2 ratio,2.0896024931585373,1.43318105133603,0.6564214418225074,0.6564214418225074
421,2Hz,transfer_gain,log2 ratio,1.7551890752135417,2.476328858816413,-0.7211397836028715,0.7211397836028715
461,2Hz,transfer_gain,log2 ratio,2.1958686015702558,2.360774011229922,-0.16490540965966627,0.16490540965966627
503,2Hz,transfer_gain,log2 ratio,2.9709286357418643,2.4449474453859397,0.5259811903559246,0.5259811903559246
11,5Hz,transfer_gain,log2 ratio,2.878866566149835,2.9153193517864757,-0.03645278563664078,0.03645278563664078
23,5Hz,transfer_gain,log2 ratio,2.9400606822454574,2.8446465542250223,0.09541412802043503,0.09541412802043503
37,5Hz,transfer_gain,log2 ratio,1.3527085740946267,2.101750950728661,-0.7490423766340344,0.7490423766340344
53,5Hz,transfer_gain,log2 ratio,2.0235241041256167,2.2458674284633027,-0.222343324337686,0.222343324337686
71,5Hz,transfer_gain,log2 ratio,2.52847106329901,2.581622943245458,-0.05315187994644788,0.05315187994644788
89,5Hz,transfer_gain,log2 ratio,2.526235829272056,2.5722141698519136,-0.0459783405798575,0.0459783405798575
