severity,seed,probe,network,metric,difference,old_pointwise_tolerance,within_old_pointwise_tolerance
1.0,421,2Hz,episodic_expanded,a1_snr_db,0.024530655989352113,1.0,True
1.0,421,2Hz,semantic_expanded,a1_snr_db,0.024530655989352113,1.0,True
1.0,461,2Hz,episodic_expanded,a1_snr_db,0.0013861181388357124,1.0,True
1.0,461,2Hz,semantic_expanded,a1_snr_db,0.0013861181388357124,1.0,True
1.0,503,2Hz,episodic_expanded,a1_snr_db,0.004628390934694693,1.0,True
1.0,503,2Hz,semantic_expanded,a1_snr_db,0.004628390934694693,1.0,True
0.0,11,5Hz,episodic_expanded,a1_snr_db,9.496665148134298e-05,1.0,True
0.0,11,5Hz,semantic_expanded,a1_snr_db,9.496665148134298e-05,1.0,True
0.0,23,5Hz,episodic_expanded,a1_snr_db,9.508657013412858e-05,1.0,True
0.0,23,5Hz,semantic_expanded,a1_snr_db,9.508657013412858e-05,1.0,True
0.0,37,5Hz,episodic_expanded,a1_snr_db,9.492167682267905e-05,1.0,True
0.0,37,5Hz,semantic_expanded,a1_snr_db,9.492167682267905e-05,1.0,True
0.0,53,5Hz,episodic_expanded,a1_snr_db,9.483873682825106e-05,1.0,True
0.0,53,5Hz,semantic_expanded,a1_snr_db,9.483873682825106e-05,1.0,True
0.0,71,5Hz,episodic_expanded,a1_snr_db,9.487963990295611e-05,1.0,True
0.0,71,5Hz,semantic_expanded,a1_snr_db,9.487963990295611e-05,1.0,True
0.0,89,5Hz,episodic_expanded,a1_snr_db,9.490539414969135e-05,1.0,True
0.0,89,5Hz,semantic_expanded,a1_snr_db,9.490539414969135e-05,1.0,True
0.0,107,5Hz,episodic_expanded,a1_snr_db,9.46661265643911e-05,1.0,True
0.0,107,5Hz,semantic_expanded,a1_snr_db,9.46661265643911e-05,1.0,True
0.0,127,5Hz,episodic_expanded,a1_snr_db,9.491512618353681e-05,1.0,True
0.0,127,5Hz,semantic_expanded,a1_snr_db,9.491512618353681e-05,1.0,True
0.0,149,5Hz,episodic_expanded,a1_snr_db,9.490856668747938e-05,1.0,True
0.0,149,5Hz,semantic_expanded,a1_snr_db,9.490856668747938e-05,1.0,True
0.0,173,5Hz,episodic_expanded,a1_snr_db,9.494597100001556e-05,1.0,True
0.0,173,5Hz,semantic_expanded,a1_snr_db,9.494597100001556e-05,1.0,True
0.0,197,5Hz,episodic_expanded,a1_snr_db,9.459849151838284e-05,1.0,True
0.0,197,5Hz,semantic_expanded,a1_snr_db,9.459849151838284e-05,1.0,True
0.0,223,5Hz,episodic_expanded,a1_snr_db,9.47668589574846e-05,1.0,True
0.0,223,5Hz,semantic_expanded,a1_snr_db,9.47668589574846e-05,1.0,True
0.0,251,5Hz,episodic_expanded,a1_snr_db,9.493227958401462e-05,1.0,True
0.0,251,5Hz,semantic_expanded,a1_snr_db,9.493227958401462e-05,1.0,True
0.0,281,5Hz,episodic_expanded,a1_snr_db,9.492746471195801e-05,1.0,True
0.0,281,5Hz,semantic_expanded,a1_snr_db,9.492746471195801e-05,1.0,True
0.0,313,5Hz,episodic_expanded,a1_snr_db,9.501312579018872e-05,1.0,True
0.0,313,5Hz,semantic_expanded,a1_snr_db,9.501312579018872e-05,1.0,True
0.0,347,5Hz,episodic_expanded,a1_snr_db,9.506546611603994e-05,1.0,True
0.0,347,5Hz,semantic_expanded,a1_snr_db,9.506546611603994e-05,1.0,True
0.0,383,5Hz,episodic_expanded,a1_snr_db,9.508676176039899e-05,1.0,True
0.0,383,5Hz,semantic_expanded,a1_snr_db,9.508676176039899e-05,1.0,True
0.0,421,5Hz,episodic_expanded,a1_snr_db,9.48803140907728e-05,1.0,True
0.0,421,5Hz,semantic_expanded,a1_snr_db,9.48803140907728e-05,1.0,True
0.0,461,5Hz,episodic_expanded,a1_snr_db,9.498303231225691e-05,1.0,True
0.0,461,5Hz,semantic_expanded,a1_snr_db,9.498303231225691e-05,1.0,True
0.0,503,5Hz,episodic_expanded,a1_snr_db,9.49199499586939e-05,1.0,True
0.0,503,5Hz,semantic_expanded,a1_snr_db,9.49199499586939e-05,1.0,True
1.0,11,5Hz,episodic_expanded,a1_snr_db,0.0029851182627780304,1.0,True
1.0,11,5Hz,semantic_expanded,a1_snr_db,0.0029851182627780304,1.0,True
1.0,23,5Hz,episodic_expanded,a1_snr_db,0.00034423240008862876,1.0,True
1.0,23,5Hz,semantic_expanded,a1_snr_db,0.00034423240008862876,1.0,True
1.0,37,5Hz,episodic_expanded,a1_snr_db,0.020264111739191293,1.0,True
1.0,37,5Hz,semantic_expanded,a1_snr_db,0.020264111739191293,1.0,True
1.0,53,5Hz,episodic_expanded,a1_snr_db,0.0002321221100345383,1.0,True
1.0,53,5Hz,semantic_expanded,a1_snr_db,0.0002321221100345383,1.0,True
1.0,71,5Hz,episodic_expanded,a1_snr_db,0.04027442675016957,1.0,True
1.0,71,5Hz,semantic_expanded,a1_snr_db,0.04027442675016957,1.0,True
1.0,89,5Hz,episodic_expanded,a1_snr_db,0.00964819121784899,1.0,True
1.0,89,5Hz,semantic_expanded,a1_snr_db,0.00964819121784899,1.0,True
1.0,107,5Hz,episodic_expanded,a1_snr_db,0.215961403257122,1.0,True
1.0,107,5Hz,semantic_expanded,a1_snr_db,0.215961403257122,1.0,True
1.0,127,5Hz,episodic_expanded,a1_snr_db,0.007775073882218209,1.0,True
1.0,127,5Hz,semantic_expanded,a1_snr_db,0.007775073882218209,1.0,True
1.0,149,5Hz,episodic_expanded,a1_snr_db,0.00756353625741113,1.0,True
1.0,149,5Hz,semantic_expanded,a1_snr_db,0.00756353625741113,1.0,True
1.0,173,5Hz,episodic_expanded,a1_snr_db,0.02336916052737692,1.0,True
1.0,173,5Hz,semantic_expanded,a1_snr_db,0.02336916052737692,1.0,True
1.0,197,5Hz,episodic_expanded,a1_snr_db,0.004152071361435361,1.0,True
1.0,197,5Hz,semantic_expanded,a1_snr_db,0.004152071361435361,1.0,True
1.0,223,5Hz,episodic_expanded,a1_snr_db,0.026564411961043533,1.0,True
1.0,223,5Hz,semantic_expanded,a1_snr_db,0.026564411961043533,1.0,True
1.0,251,5Hz,episodic_expanded,a1_snr_db,0.027476633318190835,1.0,True
1.0,251,5Hz,semantic_expanded,a1_snr_db,0.027476633318190835,1.0,True
1.0,281,5Hz,episodic_expanded,a1_snr_db,0.005362781982931608,1.0,True
1.0,281,5Hz,semantic_expanded,a1_snr_db,0.005362781982931608,1.0,True
1.0,313,5Hz,episodic_expanded,a1_snr_db,0.09413059268482371,1.0,True
1.0,313,5Hz,semantic_expanded,a1_snr_db,0.09413059268482371,1.0,True
