scope,variant,condition,severity,seed,probe,global_coupling,input_peak_per_ms,dt_ms,pair,semantic_network,episodic_network,outcome,unit,semantic_value,episodic_value,semantic_minus_episodic_interaction
main_full_field,full_field,High AD-like perturbation,1.0,149,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.028264961865535,7.986272198504227,2.041992763361308
main_full_field,full_field,High AD-like perturbation,1.0,173,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.101210616239554,7.842165676123042,2.259044940116512
main_full_field,full_field,High AD-like perturbation,1.0,197,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.90112570005581,7.425332085878553,2.475793614177256
main_full_field,full_field,High AD-like perturbation,1.0,223,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.355029883676712,8.899958765548142,1.4550711181285703
main_full_field,full_field,High AD-like perturbation,1.0,251,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.862155090527104,7.267726494031259,2.5944285964958445
main_full_field,full_field,High AD-like perturbation,1.0,281,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.058206428725905,7.373315787382057,2.6848906413438476
main_full_field,full_field,High AD-like perturbation,1.0,313,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.878823440622241,7.8952475658593295,1.983575874762912
main_full_field,full_field,High AD-like perturbation,1.0,347,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.918049568854903,7.219867663929798,2.6981819049251046
main_full_field,full_field,High AD-like perturbation,1.0,383,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.127206538794965,8.037604045636428,2.0896024931585373
main_full_field,full_field,High AD-like perturbation,1.0,421,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.079761945400868,8.324572870187327,1.7551890752135417
main_full_field,full_field,High AD-like perturbation,1.0,461,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.853108243356365,7.657239641786109,2.1958686015702558
main_full_field,full_field,High AD-like perturbation,1.0,503,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.882953939963775,6.912025304221911,2.9709286357418643
main_full_field,full_field,Intermediate AD-like perturbation,0.5,11,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.748427065512075,9.436307876757354,2.312119188754721
main_full_field,full_field,Intermediate AD-like perturbation,0.5,23,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.112770516105682,8.372165848873939,1.740604667231743
main_full_field,full_field,Intermediate AD-like perturbation,0.5,37,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,6.143982678699211,5.436166331381395,0.7078163473178156
main_full_field,full_field,Intermediate AD-like perturbation,0.5,53,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.70871868746798,9.162370670278161,1.5463480171898194
main_full_field,full_field,Intermediate AD-like perturbation,0.5,71,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.757863727996192,9.531172170901154,2.2266915570950374
main_full_field,full_field,Intermediate AD-like perturbation,0.5,89,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,10.232040544414282,8.66191945148773,1.570121092926552
main_full_field,full_field,Intermediate AD-like perturbation,0.5,107,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.057941303282043,7.958566405067285,1.0993748982147578
main_full_field,full_field,Intermediate AD-like perturbation,0.5,127,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,8.45722224922695,7.162247683824713,1.2949745654022369
main_full_field,full_field,Intermediate AD-like perturbation,0.5,149,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,9.84167313430761,7.796665884693604,2.045007249614007
main_full_field,full_field,Intermediate AD-like perturbation,0.5,173,2Hz,60.0,0.02,0.5,expanded_bilateral,semantic_expanded,episodic_expanded,transfer_gain,log2 ratio,11.56433848107779,9.665053940954012,1.8992845401237783
