pair,outcome,probe,unit,variant,global_coupling,input_peak_per_ms,numerical_initializations,mean_interaction,median_interaction,minimum_interaction,maximum_interaction,ci95_lower_numerical,ci95_upper_numerical,paired_hedges_gz,positive_fraction,sign_consistent,mean_interaction_curvature
expanded_bilateral,transfer_gain,2Hz,log2 ratio,G100,100.0,0.02,5,1.5661174574924708,1.6035260364160173,1.3657332706983691,1.8084700498753374,1.3440861500929349,1.7881487648920067,7.006549433779115,1.0,True,
expanded_bilateral,transfer_gain,2Hz,log2 ratio,G30,30.0,0.02,5,2.00077100409122,2.124029719428478,1.4276983878009482,2.2373640366515266,1.5959728354472371,2.405569172735203,4.90967700323759,1.0,True,
expanded_bilateral,transfer_gain,2Hz,log2 ratio,input_0.01,60.0,0.01,5,2.1318078088200343,1.9411767002539158,1.5389005116335053,2.9503511583680853,1.434097776719037,2.8295178409210315,3.0350591340424677,1.0,True,
expanded_bilateral,transfer_gain,2Hz,log2 ratio,input_0.04,60.0,0.04,5,2.131088225355018,1.9288951153032983,1.520833856429034,2.9445650598068696,1.4312201065670829,2.830956344142953,3.0246790278167435,1.0,True,
expanded_bilateral,transfer_gain,5Hz,log2 ratio,G100,100.0,0.02,5,1.5000236514044765,1.4463314540775833,1.215189679180277,1.8269716105451987,1.1333763468162532,1.8666709559926997,4.063906301441105,1.0,True,
expanded_bilateral,transfer_gain,5Hz,log2 ratio,G30,30.0,0.02,5,2.1562120636931383,2.145765278091501,1.8040056102727675,2.4585347531332262,1.8559233839942957,2.456500743391981,7.132578942810505,1.0,True,
expanded_bilateral,transfer_gain,5Hz,log2 ratio,input_0.01,60.0,0.01,5,2.3396038055130584,2.535451588107855,1.3355704414323206,2.931589643740569,1.5080963259084412,3.1711112851176755,2.7949254929107057,1.0,True,
expanded_bilateral,transfer_gain,5Hz,log2 ratio,input_0.04,60.0,0.04,5,2.3530934449260656,2.508903323551622,1.388519299102053,2.9555400316204183,1.54641719944503,3.159769690407101,2.8975703016832286,1.0,True,
expanded_bilateral,functional_connectivity,2Hz,Fisher-z difference,G100,100.0,0.02,5,-0.5360972856165075,-0.45844532628045,-0.6900154322820555,-0.43186516698887734,-0.6906254645001518,-0.38156910673286315,-3.4461168384621845,0.0,True,
expanded_bilateral,functional_connectivity,2Hz,Fisher-z difference,G30,30.0,0.02,5,0.07978133738548188,0.08819170859950409,0.0496681551395306,0.09399769555709447,0.05659756360763983,0.10296511116332392,3.4183085224815115,1.0,True,
expanded_bilateral,functional_connectivity,2Hz,Fisher-z difference,input_0.01,60.0,0.01,5,0.06436266157781603,0.06281483367708596,0.06122436475098603,0.06913320394972011,0.06033783813929175,0.06838748501634032,15.88478121943133,1.0,True,
expanded_bilateral,functional_connectivity,2Hz,Fisher-z difference,input_0.04,60.0,0.04,5,0.06438183808555839,0.06264396114358028,0.06089249876514602,0.06930039192625514,0.05999073501529281,0.06877294115582397,14.564105503301176,1.0,True,
expanded_bilateral,functional_connectivity,5Hz,Fisher-z difference,G100,100.0,0.02,5,-0.38330015074302304,-0.42103284706333344,-0.6171038757009131,-0.18196301330017395,-0.6041463344247522,-0.16245396706129395,-1.7240234438266646,0.0,True,
expanded_bilateral,functional_connectivity,5Hz,Fisher-z difference,G30,30.0,0.02,5,0.04434566479725484,0.04873832031288128,0.03191226863432872,0.05134283717808441,0.03384689355316944,0.05484443604134024,4.195722655539027,1.0,True,
expanded_bilateral,functional_connectivity,5Hz,Fisher-z difference,input_0.01,60.0,0.01,5,0.06480965029573756,0.06277338376854602,0.06128192147688516,0.0733952113558829,0.05865253772816653,0.07096676286330858,10.45578538644643,1.0,True,
expanded_bilateral,functional_connectivity,5Hz,Fisher-z difference,input_0.04,60.0,0.04,5,0.06797347013133406,0.06623173483908795,0.06403479294680481,0.07696699698962406,0.061429088054711076,0.07451785220795705,10.317271786015098,1.0,True,
