seed,outcome,probe,observed_interaction,null_median,null_5th_percentile,null_95th_percentile,observed_empirical_percentile,outside_central_90_percent,matched_sets
11,transfer_gain,2Hz,2.94884082509636,1.3929487219928003,0.10941557999610915,2.575947998536978,98.60279441117764,True,500
23,transfer_gain,2Hz,2.435041254263779,1.2700099110408143,-0.001445688604408447,2.4363019904026277,95.00998003992017,False,500
37,transfer_gain,2Hz,1.8030696746947648,1.3255079453345773,-0.001860590995840367,2.522225054219708,72.85429141716567,False,500
53,transfer_gain,2Hz,1.937278766558732,1.3229429961222552,0.01875144781999636,2.4759128176436596,79.24151696606786,False,500
71,transfer_gain,2Hz,1.52680646345069,1.2328841831290749,-0.0851772189225544,2.6133295428825924,63.27345309381238,False,500
89,transfer_gain,2Hz,2.571956478688775,1.3699154518984864,0.16548696698513155,2.519176718143534,95.60878243512974,True,500
107,transfer_gain,2Hz,2.338568715357294,1.335088723934537,0.18931373472930915,2.4499992780210755,93.01397205588822,False,500
127,transfer_gain,2Hz,1.8973230532045626,1.2323661885977488,-0.17257379526450145,2.633080017397261,78.44311377245509,False,500
149,transfer_gain,2Hz,2.041992763361308,1.361434982287915,-0.01668126694051034,2.810878111151585,78.0439121756487,False,500
173,transfer_gain,2Hz,2.259044940116512,1.41943493363897,0.055548526152425164,3.1208729718469077,80.63872255489022,False,500
197,transfer_gain,2Hz,2.475793614177256,1.3420465067103775,0.1761629364616945,2.392493007192749,96.20758483033931,True,500
223,transfer_gain,2Hz,1.4550711181285703,1.226695657100736,0.004754924699183166,2.555447751769864,60.678642714570856,False,500
251,transfer_gain,2Hz,2.5944285964958445,1.3848748446441617,0.09767612489240535,2.4855023836645165,96.00798403193613,True,500
281,transfer_gain,2Hz,2.6848906413438476,1.3427386528993184,0.13743239354458503,2.4881143258268454,98.00399201596807,True,500
313,transfer_gain,2Hz,1.983575874762912,1.2960831543347568,-0.2014713066112939,2.7263725215814913,80.83832335329342,False,500
347,transfer_gain,2Hz,2.6981819049251046,1.4940695657404266,0.22563011385207085,2.9653022054602416,90.6187624750499,False,500
383,transfer_gain,2Hz,2.0896024931585373,1.3233265400638023,-0.059570511806679896,2.6731207598773965,82.03592814371258,False,500
421,transfer_gain,2Hz,1.7551890752135417,1.2242376236282713,-0.06036457515281534,2.401515312638033,76.44710578842316,False,500
461,transfer_gain,2Hz,2.1958686015702558,1.3909968914428354,0.05532449901777957,2.9623410405380306,80.63872255489022,False,500
503,transfer_gain,2Hz,2.9709286357418643,1.3350917930265882,0.12627542492813745,2.5341630548825984,98.40319361277444,True,500
11,transfer_gain,5Hz,2.878866566149835,1.3795751226297082,0.0593469221006971,2.6140215934726947,98.20359281437126,True,500
23,transfer_gain,5Hz,2.9400606822454574,1.3011561459739562,0.05335001763575926,2.5376541478358794,98.60279441117764,True,500
37,transfer_gain,5Hz,1.3527085740946267,1.2499880688475242,-0.12243543774904342,2.457271273996717,55.28942115768463,False,500
53,transfer_gain,5Hz,2.0235241041256167,1.265791327777377,-0.0179687250489525,2.5995495609673824,80.23952095808383,False,500
71,transfer_gain,5Hz,2.52847106329901,1.3949878574646712,0.02065925937582366,2.7027199613208346,93.01397205588822,False,500
89,transfer_gain,5Hz,2.526235829272056,1.3714112182828138,0.16672910085905693,2.6112048800096717,92.81437125748504,False,500
107,transfer_gain,5Hz,2.36447078164832,1.3013642082241592,0.04132683519477128,2.5649744737945053,91.61676646706587,False,500
127,transfer_gain,5Hz,1.7685253195122526,1.2708319484693416,-0.12993132059356294,2.6518616146164846,71.6566866267465,False,500
149,transfer_gain,5Hz,2.196601444448415,1.3067159706460632,-0.06340680332047711,3.047737508649475,81.0379241516966,False,500
173,transfer_gain,5Hz,2.657075255531466,1.4086624232925464,0.067279851256484,2.807234994578007,91.21756487025948,False,500
197,transfer_gain,5Hz,2.2218282257058526,1.2622802968818605,0.0812814772976206,2.305231462144473,92.41516966067864,False,500
223,transfer_gain,5Hz,0.946098886619966,1.1467122762268644,-0.1484260411076647,2.622103599182142,42.115768463073856,False,500
251,transfer_gain,5Hz,2.2005019839335374,1.3132317927646975,-0.06295351032988425,2.5725206241387872,88.82235528942115,False,500
281,transfer_gain,5Hz,2.4784090868455833,1.3034829853957102,0.17007571822850495,2.415013544471004,96.6067864271457,True,500
313,transfer_gain,5Hz,2.275469842528322,1.3044955236314637,-0.17067089927517365,2.705534186615949,88.62275449101796,False,500
347,transfer_gain,5Hz,2.277286017398999,1.3995810210521875,0.3122199140172971,3.096022138434137,82.23552894211576,False,500
