pair,outcome,probe,unit,severity,series,n_numerical_initializations,mean,median,sd,minimum,maximum,ci95_lower_numerical,ci95_upper_numerical,t_statistic_vs_zero,p_value_vs_zero_numerical,paired_hedges_gz,positive_fraction,sign_consistent,hierarchy,analysis_status,all_quality_gates_passed,integration_step_status
expanded_bilateral,response_latency,pulse,ms,0.0,episodic_component,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,0.0,semantic_component,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,0.0,semantic_minus_episodic_interaction,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,0.5,episodic_component,16,696.5625,-20.5,1127.3503134193322,-66.0,2729.5,95.83992169405099,1297.285078305949,2.4715032823729026,0.025921734015251347,0.5864584059867904,0.4375,False,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,0.5,semantic_component,18,997.1944444444445,169.5,1089.900078243669,62.5,2589.5,455.1998865877367,1539.1890023011522,3.881766601748463,0.0011981685246749553,0.8739736476273987,1.0,True,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,0.5,semantic_minus_episodic_interaction,16,126.125,123.5,185.18571759182726,-140.0,716.0,27.446496598705664,224.80350340129434,2.724292167671277,0.015675663830636344,0.6464422092779302,0.75,False,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,1.0,episodic_component,20,165.575,162.5,55.96998138099989,93.0,333.0,139.38024238663795,191.76975761336203,13.229840219321991,4.902791033777581e-11,2.8399509179390106,1.0,True,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,1.0,semantic_component,20,529.05,549.25,99.80374162377512,336.0,690.5,482.3404111054628,575.759588894537,23.706360989064418,1.4187986819736769e-15,5.08886732838693,1.0,True,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,response_latency,pulse,ms,1.0,semantic_minus_episodic_interaction,20,363.475,352.75,100.91638996296834,216.0,536.0,316.2446756534413,410.70532434655877,16.107488752223095,1.5622059440819813e-12,3.4576742204912745,1.0,True,confirmatory_secondary,descriptive_only_quality_gate_failed,False,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,0.0,episodic_component,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,0.0,semantic_component,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
expanded_bilateral,transfer_gain,2Hz,log2 ratio,0.0,semantic_minus_episodic_interaction,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,False,confirmatory_primary,direction_robust_exact_magnitude_descriptive_only,True,direction_robust_exact_magnitude_dt_sensitive
