seed,severity,probe,trace,region_count,analysis_start_ms,analysis_end_ms,mean_psp,sd_psp,rms_psp,signed_peak_psp,absolute_peak_psp,peak_time_ms
11,0.0,2Hz,Bilateral A1 mean,2,4500.0,14500.0,0.05811687852779106,0.043512460080936594,0.072601003795465,0.1198104435156031,0.1198104435156031,5610.0
11,0.0,2Hz,Semantic proxy mean,13,4500.0,14500.0,1.5376085827300175e-05,1.2184635586114706e-05,1.9618597292745328e-05,3.292837341694311e-05,3.292837341694311e-05,4618.0
11,0.0,2Hz,Episodic proxy mean,19,4500.0,14500.0,3.0369899474889828e-05,2.402445637312108e-05,3.87234463618479e-05,6.439305027945197e-05,6.439305027945197e-05,5592.0
11,1.0,2Hz,Bilateral A1 mean,2,4500.0,14500.0,0.05067529117441036,0.03822857250918924,0.06347762512650904,0.10761065137729364,0.10761065137729364,8614.0
11,1.0,2Hz,Semantic proxy mean,13,4500.0,14500.0,5.855690758174244e-05,0.004762255396831348,0.004762615392415688,-0.019116674627825823,0.019116674627825823,13880.0
11,1.0,2Hz,Episodic proxy mean,19,4500.0,14500.0,3.860885933212364e-05,0.0014560823686855723,0.0014565941467738757,-0.005716759966150626,0.005716759966150626,14272.0
