severity,probe,network,segment,median_broadband_transfer,median_frequency_locked_transfer,median_target_locked_amplitude,median_ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,median_phase_eligible_fraction,median_phase_lag_degrees,median_phase_consistency_across_segments,numerical_initializations,severity_label,series
0.0,2Hz,Episodic proxy,1,0.0005544237749665114,0.0005529663572269503,3.403155648185293e-05,0.06154128083921547,0.9993622913585888,1.0,12.23067130077375,0.9999999986993218,20,0.0,2Hz · Episodic proxy
0.0,2Hz,Episodic proxy,2,0.000554111079201465,0.0005528489786561109,3.402432819165253e-05,0.06154127355079793,0.999988164193317,1.0,12.233015737425937,0.9999999986993218,20,0.0,2Hz · Episodic proxy
0.0,2Hz,Episodic proxy,3,0.0005541139690447704,0.0005528519352270447,3.402450966091639e-05,0.06154127364096738,0.9999886493230982,1.0,12.233775765037226,0.9999999986993218,20,0.0,2Hz · Episodic proxy
0.0,2Hz,Episodic proxy,4,0.0005541132798529867,0.0005528512449919473,3.402446714381516e-05,0.061541273610569616,0.9999886456146259,1.0,12.233784893791123,0.9999999986993218,20,0.0,2Hz · Episodic proxy
0.0,2Hz,Episodic proxy,5,0.0005541132951220223,0.0005528512578497563,3.402446792882417e-05,0.061541273608948316,0.9999886456461095,1.0,12.233802981564157,0.9999999986993218,20,0.0,2Hz · Episodic proxy
0.0,2Hz,Semantic proxy,1,0.0002807624727136044,0.00027973275484338586,1.7217151331496604e-05,0.06154128083921547,0.9980035284435869,1.0,13.347042374972837,0.9999999879118753,20,0.0,2Hz · Semantic proxy
0.0,2Hz,Semantic proxy,2,0.0002803070690368661,0.00027962457362348044,1.721048864235801e-05,0.06154127355079793,0.9999872165124363,1.0,13.328728541835364,0.9999999879118753,20,0.0,2Hz · Semantic proxy
0.0,2Hz,Semantic proxy,3,0.00028030979607741917,0.00027962738640587037,1.721066217915418e-05,0.06154127364096738,0.9999885323938993,1.0,13.33152442000776,0.9999999879118753,20,0.0,2Hz · Semantic proxy
0.0,2Hz,Semantic proxy,4,0.0002803093493499683,0.0002796269564488136,1.7210635621528196e-05,0.06154127361056962,0.9999885710732404,1.0,13.331264104428083,0.9999999879118753,20,0.0,2Hz · Semantic proxy
0.0,2Hz,Semantic proxy,5,0.00028030937936816694,0.0002796269842072715,1.721063732596893e-05,0.061541273608948316,0.9999885688208019,1.0,13.331300938881515,0.9999999879118753,20,0.0,2Hz · Semantic proxy
