probe,network,all_rows,phase_interpretable_rows,phase_interpretable_fraction,spearman_phase_shift_vs_fc_loss,descriptive_p_value,median_phase_shift_degrees,median_fc_loss_z
2Hz,Episodic proxy,380,171,0.45,-0.15641634866921067,0.04105249871692836,13.618021839397288,2.1950930773609616
2Hz,Semantic proxy,260,44,0.16923076923076924,0.6673713883016209,7.509963833216349e-07,23.980315085423502,2.20250849849804
5Hz,Episodic proxy,380,193,0.5078947368421053,-0.29250908071150045,3.660659672316254e-05,12.32470396783597,1.3480411099760525
5Hz,Semantic proxy,260,45,0.17307692307692307,-0.29433465085639,0.04969123453299909,79.84444804735917,1.265793730814493
