severity,severity_label,network,usable_seeds,median_fixed_parcel_count,minimum_fixed_parcel_count,median_t20_ms,minimum_t20_ms,maximum_t20_ms,median_t50_ms,minimum_t50_ms,maximum_t50_ms,median_t80_ms,minimum_t80_ms,maximum_t80_ms,median_relative_t20_ms,minimum_relative_t20_ms,maximum_relative_t20_ms,median_relative_t50_ms,minimum_relative_t50_ms,maximum_relative_t50_ms,median_relative_t80_ms,minimum_relative_t80_ms,maximum_relative_t80_ms,median_spread_t80_t20_ms,minimum_spread_t80_t20_ms,maximum_spread_t80_t20_ms,median_absolute_peak_after_onset_ms,minimum_absolute_peak_after_onset_ms,maximum_absolute_peak_after_onset_ms,median_relative_absolute_peak_after_onset_ms,minimum_relative_absolute_peak_after_onset_ms,maximum_relative_absolute_peak_after_onset_ms,median_total_energy_psp2_ms,minimum_total_energy_psp2_ms,maximum_total_energy_psp2_ms,median_tail_energy_fraction,minimum_tail_energy_fraction,maximum_tail_energy_fraction,median_absolute_peak_psp,minimum_absolute_peak_psp,maximum_absolute_peak_psp
0.0,0.0,Episodic proxy,16,16.5,1,175.0,165.5,192.0,306.0,295.0,320.0,467.0,453.5,492.0,149.0,139.5,166.0,260.0,249.0,274.0,302.0,288.5,327.0,294.0,291.0,314.0,252.75,237.5,278.0,224.75,209.5,250.0,8.22931626122389e-05,6.237266407299003e-05,8.765121567207512e-05,2.3625415956342077e-08,2.2051566230572425e-08,2.77507509803562e-08,0.0006275706982461493,0.000526955648006755,0.0006497243931161566
0.0,0.0,Semantic proxy,18,10.0,2,211.0,189.0,275.0,367.0,317.0,425.0,574.0,487.0,618.0,185.0,163.0,249.0,321.0,271.0,379.0,409.0,322.0,453.0,336.0,298.0,343.0,292.0,269.5,368.0,264.0,241.5,340.0,4.364353794371045e-05,2.3685213566870935e-05,5.798152422614367e-05,3.512003213484873e-08,2.3611556732869513e-08,4.0140152644481214e-08,0.00042559248938752364,0.0003093651072791914,0.0005070710138506129
0.5,0.5,Episodic proxy,16,16.5,1,212.0,180.0,2933.0,348.5,302.0,3098.0,647.75,479.0,3248.0,184.0,152.0,2905.0,244.5,198.0,2994.0,446.25,277.0,3046.0,340.0,280.0,2843.0,262.75,239.5,3092.0,234.75,211.5,3064.0,0.00026281600999375325,0.00019180309095320145,0.17391167838905203,0.0184904427005629,0.0055399213362486086,0.11993992579947617,0.0010166064597352967,0.0009493740951035019,0.04066520619082503
0.5,0.5,Semantic proxy,18,10.0,2,568.75,267.5,2878.5,1168.0,433.5,3016.5,2579.5,675.0,3171.0,540.75,239.5,2850.5,1064.0,329.5,2912.5,2377.5,473.0,2968.0,780.0,276.0,2633.0,1154.5,345.5,3012.0,1126.5,317.5,2984.0,0.0004154277556705193,0.00018006680455228487,0.2364026589720135,0.03489305476881914,0.01543596812260982,0.1096705641715259,0.0011019113084943595,0.000734060717718273,0.03126480636531692
1.0,1.0,Episodic proxy,16,16.5,1,338.75,60.0,415.0,579.75,332.0,733.0,1182.0,867.0,1936.0,307.75,28.0,384.0,443.75,190.0,598.0,902.0,587.0,1656.0,843.25,602.0,1515.0,409.0,48.0,489.0,381.0,20.0,461.0,0.004000739031660007,3.063291958227086e-05,0.007881329506833823,0.01678163125913907,0.0033003801766520436,0.037004124824721346,0.00210562353367288,0.0004945957423565517,0.0025272827947308485
1.0,1.0,Semantic proxy,18,10.0,2,424.75,341.5,883.5,1036.5,771.0,1602.0,1779.25,1308.5,2341.5,393.75,310.5,852.5,901.0,635.0,1467.0,1499.25,1028.5,2061.5,1304.75,967.0,1865.0,702.75,506.0,1727.0,674.75,478.0,1699.0,0.0006824801759156867,0.00020222174594427338,0.0011012939342525774,0.027953079801851452,0.013608949646715291,0.06946458000040139,0.0011388978553776557,0.0006389230019339109,0.001492095207531463
