severity,severity_label,seed,network,fixed_parcel_count,t20_ms,relative_t20_ms,t50_ms,relative_t50_ms,t80_ms,relative_t80_ms,absolute_peak_after_onset_ms,relative_absolute_peak_after_onset_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp
0.5,0.5,197,Semantic proxy,11,1474.5,1446.5,2287.5,2183.5,2741.0,2540.0,2272.5,2244.5,1379.5,0.0021211143230389336,0.034994590581950334,0.0022497391107512733
1.0,1.0,197,Semantic proxy,11,411.5,380.5,935.0,799.0,1817.5,1537.5,640.0,612.0,1333.5,0.0006517426085375381,0.03396843254894484,0.001126348256920906
0.0,0.0,223,Semantic proxy,3,242.0,216.0,379.0,333.0,569.0,404.0,333.5,305.5,327.0,3.722967048852524e-05,3.109648421873167e-08,0.00038084649366076917
0.5,0.5,223,Semantic proxy,3,2878.5,2850.5,3016.5,2912.5,3154.5,2952.5,3004.0,2976.0,276.0,0.09254064383798435,0.08410954533451638,0.01880327657341674
1.0,1.0,223,Semantic proxy,3,341.5,310.5,771.0,635.0,1308.5,1028.5,515.0,487.0,967.0,0.00020222174594427338,0.014337400373697995,0.0006389230019339109
0.0,0.0,251,Semantic proxy,2,275.0,249.0,425.0,379.0,618.0,453.0,368.0,340.0,343.0,2.3685213566870935e-05,4.0140152644481214e-08,0.0003093651072791914
0.5,0.5,251,Semantic proxy,2,2862.0,2834.0,3009.0,2905.0,3171.0,2968.0,3012.0,2984.0,309.0,0.09977596468217459,0.08254894730234498,0.022869496423432167
1.0,1.0,251,Semantic proxy,2,848.0,817.0,1410.0,1274.0,2299.0,2019.0,1038.0,1010.0,1451.0,0.0005081462273214357,0.06946458000040139,0.0010464330526858134
0.0,0.0,281,Semantic proxy,12,220.5,194.5,377.0,331.0,575.5,410.5,303.0,275.0,338.5,4.346135479057204e-05,3.646371715713055e-08,0.00042391897972215986
0.5,0.5,281,Semantic proxy,12,389.5,361.5,840.5,736.5,1372.0,1170.0,1072.0,1044.0,818.5,0.00023439614868493643,0.02770210505442299,0.0007722284949733076
1.0,1.0,281,Semantic proxy,12,438.0,407.0,1089.0,954.0,1956.5,1676.5,796.5,768.5,1337.0,0.0011012939342525774,0.013608949646715291,0.001203349555175833
0.0,0.0,313,Semantic proxy,12,220.5,194.5,377.0,331.0,575.5,410.5,303.0,275.0,338.5,4.346115475644127e-05,3.6631517123399176e-08,0.0004239188955383888
0.5,0.5,313,Semantic proxy,12,563.5,535.5,1005.5,901.5,1696.5,1494.5,897.0,869.0,1062.0,0.0003717075892600408,0.018909737832479467,0.0010237054529695182
1.0,1.0,313,Semantic proxy,12,450.0,419.0,1007.5,871.5,1739.0,1459.0,802.5,774.5,1301.5,0.0007132177432938353,0.030099897834975926,0.0011759384764239065
0.0,0.0,347,Semantic proxy,11,211.0,185.0,367.0,321.0,574.0,409.0,292.0,264.0,336.0,4.382414593656689e-05,3.5971624850598994e-08,0.0004272618257445219
0.5,0.5,347,Semantic proxy,11,574.0,546.0,1330.5,1226.5,2418.0,2215.0,1237.0,1209.0,1414.0,0.0002864107980252915,0.02761846461191446,0.0008938360665749674
1.0,1.0,347,Semantic proxy,11,385.0,354.0,805.0,669.0,1550.0,1270.0,694.5,666.5,1132.0,0.0005407144121355377,0.025806261768726982,0.0009991321329329672
0.0,0.0,383,Semantic proxy,10,203.0,177.0,365.0,319.0,573.0,408.0,282.0,254.0,334.0,4.505979711488357e-05,3.583659334754568e-08,0.0004345764765899318
0.5,0.5,383,Semantic proxy,10,413.0,385.0,879.0,775.0,1103.0,900.0,900.0,872.0,650.0,0.0002585769968257665,0.026704110686477732,0.0008812726331104415
1.0,1.0,383,Semantic proxy,10,355.0,324.0,795.0,659.0,1770.0,1490.0,553.0,525.0,1308.0,0.0005659341782096429,0.037835112939786725,0.0009937115849404598
0.0,0.0,421,Semantic proxy,10,206.5,180.5,354.0,308.0,550.0,385.0,291.0,263.0,335.0,4.717965664135639e-05,3.450790252885092e-08,0.00044463313587820663
0.5,0.5,421,Semantic proxy,10,296.5,268.5,474.5,370.5,750.5,549.5,353.5,325.5,454.0,0.00022225957548519966,0.03479151895568795,0.0008025313202727109
1.0,1.0,421,Semantic proxy,10,432.0,401.0,1107.0,971.0,1749.0,1469.0,599.5,571.5,1149.5,0.0008982126606315358,0.025717954259010824,0.0013464396671819165
0.0,0.0,461,Semantic proxy,0,,,,,,,,,,,,
0.5,0.5,461,Semantic proxy,0,,,,,,,,,,,,
1.0,1.0,461,Semantic proxy,0,,,,,,,,,,,,
0.0,0.0,503,Semantic proxy,12,220.5,194.5,377.0,331.0,575.5,410.5,303.0,275.0,338.5,4.3462929950854026e-05,3.5415563245049504e-08,0.0004239231530305254
0.5,0.5,503,Semantic proxy,12,304.5,276.5,688.0,584.0,1174.5,973.5,361.5,333.5,743.0,0.0002127214873374672,0.027435152482981916,0.000752063194767209
1.0,1.0,503,Semantic proxy,12,412.5,381.5,1044.0,908.0,2017.5,1737.5,524.0,496.0,1572.0,0.0010528473541241516,0.024925539032101342,0.00123397005329721
0.0,0.0,11,Episodic proxy,0,,,,,,,,,,,,
0.5,0.5,11,Episodic proxy,0,,,,,,,,,,,,
1.0,1.0,11,Episodic proxy,0,,,,,,,,,,,,
0.0,0.0,23,Episodic proxy,14,178.0,152.0,311.0,265.0,472.0,307.0,258.0,230.0,293.0,8.084907359711912e-05,2.3264260066056522e-08,0.0006238557277027062
0.5,0.5,23,Episodic proxy,14,239.0,211.0,410.0,306.0,3079.0,2877.0,291.0,263.0,2843.0,0.00028396018109325534,0.09537763610066322,0.001027319900068007
1.0,1.0,23,Episodic proxy,14,415.0,384.0,692.0,557.0,1204.0,924.0,489.0,461.0,816.0,0.00749653389688342,0.031703559654243846,0.0025272827947308485
0.0,0.0,37,Episodic proxy,18,178.5,152.5,311.5,265.5,472.5,307.5,258.0,230.0,294.0,8.458961850027152e-05,2.406238843290852e-08,0.0006333351057995262
0.5,0.5,37,Episodic proxy,18,369.0,341.0,2066.5,1962.5,2647.5,2445.5,2038.5,2010.5,2207.0,0.0013504939483870017,0.07606569870243107,0.001777721839151769
1.0,1.0,37,Episodic proxy,18,359.5,328.5,634.5,499.5,1627.5,1347.5,441.5,413.5,1207.0,0.007881329506833823,0.037004124824721346,0.0025036315831089783
0.0,0.0,53,Episodic proxy,17,172.5,146.5,303.5,257.5,463.5,298.5,248.0,220.0,294.0,8.229486246259033e-05,2.3215995106189975e-08,0.0006275774024181732
0.5,0.5,53,Episodic proxy,17,180.5,152.5,324.0,220.0,482.0,280.0,240.5,212.5,283.0,0.0002045592259068541,0.01872222593393526,0.0009795502785537964
1.0,1.0,53,Episodic proxy,17,313.0,282.0,508.0,372.0,867.0,587.0,409.0,381.0,602.0,0.0026560380694642645,0.017397698041803716,0.0019836174780972866
0.0,0.0,71,Episodic proxy,13,165.5,139.5,295.0,249.0,454.0,289.0,237.5,209.5,291.0,8.371104652244352e-05,2.4602844923157577e-08,0.0006308148791589474
0.5,0.5,71,Episodic proxy,13,2570.5,2542.5,2907.0,2803.0,3044.0,2842.0,2958.5,2930.5,478.5,0.015813659785348055,0.09733212799107047,0.008835483057856667
1.0,1.0,71,Episodic proxy,13,377.5,346.5,646.5,510.5,1267.0,987.0,464.0,436.0,903.0,0.004456339676805714,0.02294309812348224,0.0023293120486385733
0.0,0.0,89,Episodic proxy,18,178.0,152.0,311.0,265.0,473.0,308.0,258.0,230.0,295.0,8.032739084296722e-05,2.3618899794799257e-08,0.0006180324897274325
0.5,0.5,89,Episodic proxy,18,180.0,152.0,302.0,198.0,498.0,296.0,241.0,213.0,282.0,0.00019180309095320145,0.00557743975708372,0.0009678244130910299
