severity,seed,region_index,region_label,hemisphere,semantic_membership,episodic_membership,t20_ms,t50_ms,t80_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp,absolute_peak_after_onset_ms
1.0,251,324,R_IP1,R,False,True,1122.0,1810.0,2810.0,1688.0,0.016201270097343182,0.03497843140068144,0.0039533062536438734,1440.0
1.0,251,270,R_11l,R,False,True,56.0,302.0,1096.0,1040.0,1.867706477054665e-05,0.005530831260366734,0.0004084130821624399,48.0
1.0,251,246,R_8Av,R,False,True,490.0,764.0,1102.0,612.0,0.0024854131954384863,0.0003573273799911118,0.0023588090335451284,714.0
1.0,281,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.273894236538277,1.2013853240481817e-06,0.2982317297310981,28.0
1.0,281,203,R_A1,R,False,False,32.0,140.0,304.0,272.0,7.169970599266773,2.5934194331643457e-07,0.2985557357078896,28.0
1.0,281,68,L_9m,L,True,False,590.0,976.0,1498.0,908.0,0.0028868050113080483,0.006213568172604201,0.0021500203997693035,672.0
1.0,281,248,R_9m,R,True,False,588.0,940.0,1546.0,958.0,0.0017726376330470456,0.009099863391517686,0.001767645142193075,674.0
1.0,281,64,L_10r,L,True,False,410.0,706.0,1270.0,860.0,0.0008725733765817867,0.004390267754439008,0.0013706293749855547,494.0
1.0,281,244,R_10r,R,True,False,414.0,1378.0,1848.0,1434.0,0.00027605561128186154,0.002592424916490601,0.0010956523394050066,1692.0
1.0,281,87,L_10v,L,True,False,384.0,924.0,2464.0,2080.0,9.205438378947964e-06,0.013539844445995514,0.00015891519648203456,390.0
1.0,281,267,R_10v,R,True,False,336.0,1672.0,2370.0,2034.0,0.0001374048847983622,0.03139320207092509,0.0009287607654080432,1714.0
1.0,281,62,L_8BM,L,True,False,1472.0,2286.0,2942.0,1470.0,0.006066296626916667,0.05602607258054736,0.0027447573929357816,2336.0
1.0,281,242,R_8BM,R,True,False,630.0,1352.0,1830.0,1200.0,0.00034462066843901125,0.010600143117114462,0.0011630391734236412,1346.0
1.0,281,163,L_25,L,True,False,2510.0,3054.0,3342.0,832.0,0.0004017869532242375,0.2972238398585251,0.0016387177525754026,3372.0
1.0,281,343,R_25,R,True,False,488.0,792.0,1448.0,960.0,0.00041146269992749457,0.006987066809288211,0.0009162717524215935,626.0
1.0,281,311,R_TE1a,R,True,False,172.0,1024.0,2224.0,2052.0,0.0001063789674653359,0.005378798572747513,0.0007092258199623558,350.0
1.0,281,134,L_TF,L,True,False,308.0,1004.0,2604.0,2296.0,2.821937666301956e-05,0.007557590089422751,0.0002602211903024454,52.0
1.0,281,127,L_STSda,L,True,False,440.0,1030.0,1684.0,1244.0,0.0003038669162233491,0.009528553839491097,0.0011750561148211602,1054.0
1.0,281,160,L_31pd,L,False,True,318.0,586.0,2042.0,1724.0,0.0007745627727967991,0.005265554956920305,0.0013991088555531661,408.0
1.0,281,340,R_31pd,R,False,True,120.0,522.0,2284.0,2164.0,3.9594620089947964e-05,0.0031824091726863385,0.0004934918506833696,48.0
1.0,281,34,L_31pv,L,False,True,1074.0,2086.0,2946.0,1872.0,0.003955542007233109,0.0846459522832909,0.0028284778574771963,2136.0
1.0,281,214,R_31pv,R,False,True,286.0,520.0,1694.0,1408.0,0.0005363372332982924,0.008073297137356805,0.001253456284446841,364.0
1.0,281,33,L_d23ab,L,False,True,768.0,1330.0,1898.0,1130.0,0.0076515630527588694,0.005508503380163401,0.0030912460528949026,1328.0
1.0,281,213,R_d23ab,R,False,True,654.0,1162.0,2866.0,2212.0,0.004142905944524474,0.07374265340479179,0.0023900802356919826,750.0
1.0,281,32,L_v23ab,L,False,True,370.0,650.0,1718.0,1348.0,0.0012810506830154265,0.01001286142480258,0.0017599289594905088,408.0
1.0,281,212,R_v23ab,R,False,True,234.0,398.0,774.0,540.0,0.0007701256100604956,0.0029104394758359803,0.00172579712458365,318.0
1.0,281,31,L_23d,L,False,True,378.0,748.0,1994.0,1616.0,0.0006674957139227453,0.007127017983667663,0.0011906421365406317,408.0
1.0,281,211,R_23d,R,False,True,326.0,612.0,1878.0,1552.0,0.0005698153689769321,0.00906907607973641,0.001213393928038542,408.0
1.0,281,161,L_31a,L,False,True,396.0,844.0,2312.0,1916.0,0.000510020451126596,0.004949781949552308,0.0010073782736146342,410.0
1.0,281,341,R_31a,R,False,True,1484.0,2278.0,2898.0,1414.0,0.02780593976074469,0.04420370182450331,0.005540876710387721,2760.0
1.0,281,26,L_PCV,L,False,True,2300.0,3038.0,3342.0,1042.0,0.12438324918982918,0.24166512998752315,0.01870733902774191,3480.0
