severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,broadband_first_half,broadband_second_half,broadband_split_abs_log2,fc_first_half_z,fc_second_half_z,fc_split_abs_z
0.0,11,2Hz,Semantic proxy,1,0.0,2.0,0.0002807622096661,0.0002797327374569,0.0002798950817302,0.0002797197724995,0.0009038994020175,2.1382912015721915,2.151920366884263,0.0136291653120714
0.0,11,2Hz,Semantic proxy,2,2.0,4.0,0.0002803069817378,0.0002796244900477,0.0002798950817302,0.0002797197724995,0.0009038994020175,2.1382912015721915,2.151920366884263,0.0136291653120714
0.0,11,2Hz,Semantic proxy,3,4.0,6.0,0.0002803098834285,0.0002796274744378,0.0002798950817302,0.0002797197724995,0.0009038994020175,2.1382912015721915,2.151920366884263,0.0136291653120714
0.0,11,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093491727,0.0002796269562652,0.0002798950817302,0.0002797197724995,0.0009038994020175,2.1382912015721915,2.151920366884263,0.0136291653120714
0.0,11,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793678,0.0002796269842069,0.0002798950817302,0.0002797197724995,0.0009038994020175,2.1382912015721915,2.151920366884263,0.0136291653120714
0.0,11,2Hz,Episodic proxy,1,0.0,2.0,0.0005544235091275,0.0005529664524875,0.0005531385310665,0.0005530216460745,0.0003048914659249,2.227342738082206,2.230485799073141,0.0031430609909346
0.0,11,2Hz,Episodic proxy,2,2.0,4.0,0.0005541109569944,0.0005528488752671,0.0005531385310665,0.0005530216460745,0.0003048914659249,2.227342738082206,2.230485799073141,0.0031430609909346
0.0,11,2Hz,Episodic proxy,3,4.0,6.0,0.0005541141090852,0.0005528520757321,0.0005531385310665,0.0005530216460745,0.0003048914659249,2.227342738082206,2.230485799073141,0.0031430609909346
0.0,11,2Hz,Episodic proxy,4,6.0,8.0,0.0005541132797797,0.0005528512449121,0.0005531385310665,0.0005530216460745,0.0003048914659249,2.227342738082206,2.230485799073141,0.0031430609909346
0.0,11,2Hz,Episodic proxy,5,8.0,10.0,0.000554113295122,0.0005528512578498,0.0005531385310665,0.0005530216460745,0.0003048914659249,2.227342738082206,2.230485799073141,0.0031430609909346
0.0,11,5Hz,Semantic proxy,1,0.0,2.0,0.0003880166687509,0.0003870321942586,0.0003873915950267,0.0003873045311896,0.0003242731242837,1.298880040692906,1.29902685028158,0.000146809588674
0.0,11,5Hz,Semantic proxy,2,2.0,4.0,0.0003877802970126,0.0003869586368719,0.0003873915950267,0.0003873045311896,0.0003242731242837,1.298880040692906,1.29902685028158,0.000146809588674
0.0,11,5Hz,Semantic proxy,3,4.0,6.0,0.0003877874712333,0.0003869679564135,0.0003873915950267,0.0003873045311896,0.0003242731242837,1.298880040692906,1.29902685028158,0.000146809588674
0.0,11,5Hz,Semantic proxy,4,6.0,8.0,0.0003877871950292,0.0003869675657594,0.0003873915950267,0.0003873045311896,0.0003242731242837,1.298880040692906,1.29902685028158,0.000146809588674
0.0,11,5Hz,Semantic proxy,5,8.0,10.0,0.0003877871950293,0.0003869675657591,0.0003873915950267,0.0003873045311896,0.0003242731242837,1.298880040692906,1.29902685028158,0.000146809588674
0.0,11,5Hz,Episodic proxy,1,0.0,2.0,0.0007577848288159,0.0007562995926663,0.0007568155345562,0.000756769331148,8.807887742245967e-05,1.39599591681427,1.3958050193242515,0.0001908974900182
0.0,11,5Hz,Episodic proxy,2,2.0,4.0,0.0007576484802334,0.0007562567594684,0.0007568155345562,0.000756769331148,8.807887742245967e-05,1.39599591681427,1.3958050193242515,0.0001908974900182
