seed,probe,network,region_index,region_label,hemisphere,baseline_fc_z,evoked_fc_z,fc_change_z,fc_loss_z,baseline_phase_lag_rad,phase_lag_to_ipsilateral_a1_rad,phase_shift_rad,absolute_phase_shift_degrees,phase_interpretable,fit_r_squared,snr_db,phase_consistency,b_reduction,bilateral_a1_affinity,weighted_structural_strength
11,2Hz,Semantic proxy,134,L_TF,L,2.095630367963266,0.1175325109015139,-1.978097857061752,1.978097857061752,0.2428370701704329,0.0549692813593515,-0.1878677888110814,10.764031405330034,True,0.0143208626102712,1.1966128073814235,0.2406544765692135,0.0489474375892177,0.0005119469617276,0.4201906744776126
11,2Hz,Semantic proxy,311,R_TE1a,R,2.214326002118892,0.0052610416579314,-2.2090649604609607,2.2090649604609607,0.217031664361377,1.182187388437966,0.9651557240765889,55.29934956248156,True,0.0005396445602763,1.399870660785461,0.2647605497277883,0.0239473193137252,0.0019168215900021,0.3744241813016719
23,2Hz,Semantic proxy,62,L_8BM,L,2.155796710523068,0.0010733813256591,-2.154723329197409,2.154723329197409,0.2288736847743711,1.0326739667332232,0.803800281958852,46.054363727667784,True,1.2382912325303865e-05,2.2125443526969626,0.291330176000572,0.0201039709450571,0.0006745074397163,0.4671058175950421
23,2Hz,Semantic proxy,134,L_TF,L,2.0956500342029973,0.0635380163871368,-2.0321120178158605,2.0321120178158605,0.2428377594453775,-0.1155244447290208,-0.3583622041743983,20.532641836198515,True,0.0055672964333381,1.257186091347675,0.282659867438231,0.0489474375892177,0.0005119469617276,0.4201906744776126
23,2Hz,Semantic proxy,311,R_TE1a,R,2.2143388932224957,-0.0021702676033772,-2.216509160825873,2.216509160825873,0.2170302699681779,1.785473158228882,1.5684428882607042,89.86515790464732,True,0.0006719635616023,2.019193155765371,0.2574744219432754,0.0239473193137252,0.0019168215900021,0.3744241813016719
23,5Hz,Semantic proxy,62,L_8BM,L,1.3056863487732546,0.001475472016063,-1.3042108767571916,1.3042108767571916,0.5280715352654408,0.9718354591756496,0.4437639239102088,25.425799940219566,True,4.4507647908864634e-05,0.3641365941489193,0.2330802879060873,0.0201039709450571,0.0006745074397163,0.4671058175950421
23,5Hz,Semantic proxy,64,L_10r,L,1.3869396035295554,0.0288382256619455,-1.3581013778676099,1.3581013778676099,0.4891620459965343,0.6010756293758961,0.11191358337936182,6.412175997822869,True,0.0026087538947752,4.861452088566055,0.2289497576100079,0.0109335143078004,0.0011550532233814,0.3139992454386902
23,5Hz,Semantic proxy,134,L_TF,L,1.2336381387117017,0.0517668926450957,-1.181871246066606,1.181871246066606,0.5654373636532097,-1.2456777941280088,-1.8111151577812186,103.769254753034,True,0.0273482694800972,0.1787936527995056,0.2328772296865622,0.0489474375892177,0.0005119469617276,0.4201906744776126
37,2Hz,Semantic proxy,64,L_10r,L,2.224307345707451,0.0175832186890837,-2.2067241270183673,2.2067241270183673,0.2149727046738702,0.4451639267357386,0.2301912220618684,13.188985505103783,True,0.0003284047899858,8.143384021745472,0.205655243105428,0.0109335143078004,0.0011550532233814,0.3139992454386902
37,2Hz,Semantic proxy,68,L_9m,L,2.215121805406621,0.0096143014919617,-2.205507503914659,2.205507503914659,0.216397862110502,0.5540095946341013,0.3376117325235992,19.343727387701865,True,0.0001280476755692,2.443646322487057,0.2210110575948345,0.011305137805911,0.0013197867002186,0.4789169430642468
37,2Hz,Semantic proxy,134,L_TF,L,2.095650233163763,0.0631933983296363,-2.0324568348341265,2.0324568348341265,0.2428375818394411,0.0755425636894598,-0.1672950181499813,9.585298473558433,True,0.0048772876517916,1.6251828281704883,0.3576838535585406,0.0489474375892177,0.0005119469617276,0.4201906744776126
37,2Hz,Semantic proxy,311,R_TE1a,R,2.2143336378238496,0.0112166210177929,-2.2031170168060568,2.2031170168060568,0.2170308650322871,0.898238736958308,0.681207871926021,39.03033603244932,True,0.0006610734335256,3.615419242789731,0.2514975241884303,0.0239473193137252,0.0019168215900021,0.3744241813016719
37,5Hz,Semantic proxy,134,L_TF,L,1.2336349801233788,-0.0071067913437043,-1.2407417714670832,1.2407417714670832,0.5654402087666777,-1.5710984420089114,-2.136538650775589,122.41464745601652,True,0.0525282096086003,7.2921082066299645,0.5496862055325806,0.0489474375892177,0.0005119469617276,0.4201906744776126
53,2Hz,Semantic proxy,311,R_TE1a,R,2.214307044629965,0.0012643891013019,-2.213042655528663,2.213042655528663,0.2170300270369704,1.5213202063061733,1.3042901792692028,74.73032253248685,True,0.0004567595050918,0.1613159200576063,0.2820425665038261,0.0239473193137252,0.0019168215900021,0.3744241813016719
53,5Hz,Semantic proxy,64,L_10r,L,1.3869382051974444,0.0508353721614298,-1.3361028330360145,1.3361028330360145,0.4891621641272151,0.7570087011706178,0.2678465370434027,15.34647612978144,True,0.0033073599019722,9.284853530235964,0.2542869652729482,0.0109335143078004,0.0011550532233814,0.3139992454386902
53,5Hz,Semantic proxy,68,L_9m,L,1.3771208065588014,0.041798092032741,-1.3353227145260604,1.3353227145260604,0.493397350020447,0.8935905860289642,0.40019323600851725,22.92938341297092,True,0.0031475067083391,10.289630778694942,0.3232354862175323,0.011305137805911,0.0013197867002186,0.4789169430642468
53,5Hz,Semantic proxy,87,L_10v,L,0.9059435547851844,0.0899471196451615,-0.8159964351400228,0.8159964351400228,0.7643271430585128,-1.194209118676567,-1.9585362617350799,112.21586182074962,True,0.0695721214004977,4.226717429841696,0.2486055783790262,0.0360882829623517,0.0003415956192625,0.3218456087479411
71,2Hz,Semantic proxy,62,L_8BM,L,2.155725158740657,0.0262583549098742,-2.1294668038307827,2.1294668038307827,0.2288754840918694,-1.5651760163484243,-1.7940515004402937,102.79157920434159,True,5.5996782513112464e-05,0.1542789806021762,0.2014114314009243,0.0201039709450571,0.0006745074397163,0.4671058175950421
71,2Hz,Semantic proxy,64,L_10r,L,2.2242985891848734,0.0328666676345892,-2.191431921550284,2.191431921550284,0.214972714765553,-0.7406735867112748,-0.9556463014768278,54.754499781908926,True,0.0001610807270069,0.4284074850611108,0.2749143618615396,0.0109335143078004,0.0011550532233814,0.3139992454386902
71,2Hz,Semantic proxy,311,R_TE1a,R,2.214318304488593,-0.0088090509287345,-2.2231273554173274,2.2231273554173274,0.2170308414946972,1.903218186769465,1.6861873452747678,96.6114183526127,True,0.0007155282852617,2.655798396082842,0.2674249076071444,0.0239473193137252,0.0019168215900021,0.3744241813016719
89,2Hz,Semantic proxy,134,L_TF,L,2.095587258325315,0.1182345178323274,-1.9773527404929876,1.9773527404929876,0.2428359155614989,0.0605636413799681,-0.1822722741815308,10.443432032853076,True,0.014274656073545,1.1601229780640012,0.2485679776174719,0.0489474375892177,0.0005119469617276,0.4201906744776126
